era_2026_proj,player_id,pitcher_name,year,p_era,xwoba,whiff_percent,hard_hit_percent,barrel_batted_rate,delta_era
4.331784248352051,570632,"Ureña, José",2025,4.58,0.389,19.8,40,13,-0.2482157516479493
4.336730003356934,683409,"Chivilli, Angel",2025,7.06,0.357,29.7,42.9,9.9,-2.723269996643066
4.346496105194092,642547,"Peralta, Freddy",2025,2.7,0.289,30.1,34.5,9.3,1.6464961051940916
4.347620964050293,656730,"Megill, Trevor",2025,2.49,0.281,31.4,39.1,7.8,1.8576209640502928
4.3501739501953125,680736,"Wrobleski, Justin",2025,4.32,0.289,24.6,47.8,3.8,0.030173950195312216
4.35061502456665,681347,"Burrows, Mike",2025,3.94,0.322,27,42,10.8,0.41061502456665044
4.353484153747559,673540,"Senga, Kodai",2025,3.02,0.309,27.4,40.6,8,1.3334841537475586
4.354074001312256,677960,"Weathers, Ryan",2025,3.99,0.309,28.8,42.2,9.5,0.36407400131225565
4.362642288208008,592155,"Booser, Cam",2025,5.52,0.326,30,42.5,13.8,-1.1573577117919918
4.363649368286133,702352,"Bivens, Spencer",2025,4,0.314,17,37.3,7.1,0.3636493682861328
4.369568824768066,678368,"Bellozo, Valente",2025,4.65,0.35,20.2,41.4,11.7,-0.28043117523193395
4.372567176818848,573204,"Thielbar, Caleb",2025,2.64,0.247,26.9,31.8,6.6,1.7325671768188475
4.3760600090026855,694477,"Patrick, Chad",2025,3.53,0.306,23.5,42.2,8.1,0.8460600090026857
4.378204822540283,672456,"Montero, Keider",2025,4.37,0.333,19.8,39.4,8.1,0.008204822540283097
4.383454322814941,669211,"Akin, Keegan",2025,3.41,0.333,25.6,41.7,9.7,0.9734543228149413
4.393147945404053,669467,"Pallante, Andre",2025,5.31,0.321,22.3,39.9,6.5,-0.9168520545959469
