"last_name, first_name",player_id,year,p_win,p_loss,p_era,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Vásquez, Randy",681190,2023,2,2,2.87,0.354,36.4,6.4,38.2,74.038227091,93.944955505,17.9,46
"Silseth, Chase",681217,2023,4,1,3.96,0.319,35,10.2,42.3,77.224657826,94.364685766,27.9,44
"Wantz, Andrew",681806,2023,2,0,3.89,0.312,28.8,8.1,31.5,72.359705536,93.090521532,26.3,48.5
"Criswell, Cooper",681867,2023,1,1,5.73,0.348,38.5,5.5,33,75.738772222,93.325528889,18.1,45.8
"Williamson, Brandon",682227,2023,5,5,4.46,0.334,35.8,8.2,41.2,80.073373333,94.384521379,22.1,46.6
"Uribe, Abner",682842,2023,1,0,1.76,0.291,25.4,6,43.3,79.002330303,94.597696308,32.9,40.5
"Ortiz, Luis",682847,2023,5,5,4.78,0.388,31.6,10,49.1,82.468997639,95.88325434,22.6,45.5
"Priester, Quinn",682990,2023,3,3,7.74,0.373,32.1,8.3,47,77.789101928,95.154597229,23.3,44.6
"Waldichuk, Ken",686610,2023,4,9,5.36,0.332,34.7,7.7,38.5,77.103488815,93.79839827,25.1,47.5
"Brown, Hunter",686613,2023,11,13,5.09,0.318,30,10.9,44.4,80.710690569,94.872462251,24.8,46.4
"La Sorsa, Joe",686747,2023,1,0,4.41,0.324,33.3,2,30.4,74.845880588,92.374209901,22.5,46.9
"Jameson, Drey",686753,2023,3,1,3.32,0.356,33.9,13.6,47.5,81.972548136,95.568070763,30,46
"White, Brendan",686839,2023,2,3,5.09,0.326,33.6,7.1,41.7,79.904834717,94.842112925,29.2,48.3
"Varland, Louis",686973,2023,4,3,4.63,0.330,32,10.8,43.8,80.617099792,94.965145521,25.9,53.8
"Dodd, Dylan",689266,2023,2,2,7.60,0.424,38.2,12.5,46.3,82.424902647,95.942111407,18.6,53.9
"Pérez, Eury",691587,2023,5,6,3.15,0.295,36.1,10.7,40.3,79.350598246,94.443128282,33.7,49.9
"Woo, Bryan",693433,2023,4,5,4.21,0.289,32.5,6.3,33.8,76.283120168,93.342257722,28.1,50.9
"Elder, Bryce",693821,2023,12,4,3.81,0.327,32,6,41,79.502454545,94.398947273,23.6,46.3
"Pfaadt, Brandon",694297,2023,3,9,5.72,0.326,37.2,11.7,44,79.562691678,94.728173805,25,49.3
"Shuster, Jared",694363,2023,4,3,5.81,0.352,34.7,6.9,38.7,78.88197119,94.197751607,21.6,45.6
"Miller, Mason",695243,2023,0,3,3.78,0.279,35.4,3.7,34.1,80.718649268,93.005963086,26.2,46.3
"Chavez, Jesse",445926,2024,2,2,3.13,0.322,37.6,6.3,35.4,75.526857447,93.66962262,17,42.3
"Wilson, Justin",458677,2024,1,5,5.59,0.317,35.7,11.2,41.3,76.709771268,94.558569007,25.1,55.1
"Lynn, Lance",458681,2024,7,4,3.84,0.342,37,10.5,39.3,77.577234686,94.259379457,24.1,48.4
"Gibson, Kyle",502043,2024,8,8,4.24,0.340,34.3,9.2,39.1,76.558654534,94.071640304,25.9,42.9
"Darvish, Yu",506433,2024,7,3,3.31,0.298,32,7.5,39.9,79.064280619,94.154535022,25.6,51.5
"Diekman, Jake",518617,2024,2,3,5.63,0.348,36.4,10.4,39,74.985509474,93.756943733,28.7,42.3
"Pressly, Ryan",519151,2024,2,3,3.49,0.310,37,7.9,41.8,78.834511585,94.583014817,26.9,50.3
"Sale, Chris",519242,2024,18,3,2.38,0.263,34.9,5.6,31.2,75.016805094,93.046190662,31,49
"Smith, Will",519293,2024,0,4,6.53,0.358,40.3,8.6,30.9,75.807624348,93.165260584,23.7,47
"Anderson, Tyler",542881,2024,10,15,3.81,0.326,34.1,7.9,33,76.273537333,93.1219435,27.8,49.3
"Armstrong, Shawn",542888,2024,3,3,4.86,0.350,36.6,8.9,38.1,77.5847539,94.1636783,22.9,50.9
"Gray, Sonny",543243,2024,13,9,3.84,0.300,38.1,8.9,37.9,79.276406538,94.211961253,29.8,48.7
"Hendricks, Kyle",543294,2024,4,12,5.92,0.339,36.4,7.4,33.4,73.587198843,93.098027796,18.9,46.2
"Hudson, Daniel",543339,2024,6,2,3.00,0.305,30.6,12.4,49.4,79.881588,94.914381059,32.3,50.6
"McGough, Scott",543518,2024,1,3,7.44,0.370,34,11.7,41.7,81.219632885,94.634885049,25.5,48.9
"Lorenzen, Michael",547179,2024,7,6,3.31,0.332,32.2,8,39.4,76.902993817,94.185249946,22.8,44.7
"Stripling, Ross",548389,2024,2,11,6.01,0.340,39.8,6.8,35.3,77.755111307,93.509050131,16.9,47.9
"García, Yimi",554340,2024,3,0,3.46,0.270,36.7,13.3,34.4,75.579494091,93.693798523,29,51.2
"Wheeler, Zack",554430,2024,16,7,2.57,0.262,32.6,8.3,33.6,74.93491968,93.046728036,27.5,51.2
"Corbin, Patrick",571578,2024,6,13,5.62,0.360,37.3,8.3,46.7,79.877843129,95.30570991,22.4,48.2
"Law, Derek",571882,2024,7,4,2.60,0.303,34.5,3.8,35.2,77.850689847,93.340480649,28.6,49.9
"Matz, Steven",571927,2024,1,2,5.08,0.333,44.3,7.9,30.7,77.279398986,93.058805109,18.1,48.3
"Miller, Shelby",571946,2024,6,8,4.53,0.303,31,7.6,41.1,82.009808481,94.576932468,24.3,49.3
"Johnson, Pierce",572955,2024,6,6,3.67,0.304,33.8,8.5,39.4,79.001409296,94.027184296,28.1,45.1
"Booser, Cam",592155,2024,2,3,3.38,0.298,38.7,8.1,36.3,78.02345459,93.842475574,28.9,52.8
"Kahnle, Tommy",592454,2024,0,2,2.11,0.286,24.1,6.3,32.1,74.119513636,93.096771,36,47.7
"Smyly, Drew",592767,2024,4,8,3.84,0.302,34.1,6.4,38.2,78.341442024,94.083570476,25.2,48.1
"Walker, Taijuan",592836,2024,3,7,7.10,0.398,37.8,13.4,46.3,81.056816241,95.427069787,16.7,44.1
"Montas, Frankie",593423,2024,7,11,4.84,0.336,36.2,9.2,43.1,77.762357972,94.576313396,24.9,48.7
"Gonzales, Marco",594835,2024,1,1,4.54,0.391,41,11.1,43.6,80.250298393,95.046505893,17.8,51.5
"Lively, Ben",594902,2024,13,10,3.81,0.315,30.7,6.5,41.5,80.455663231,94.191914792,18.6,46.6
"Treinen, Blake",595014,2024,7,3,1.93,0.246,23.5,5.2,33.9,76.513433684,93.467248053,27.9,48.2
"Junis, Jakob",596001,2024,4,0,2.69,0.309,35.1,8.4,42.4,80.314726458,94.199237487,24.6,47.8
"Gomber, Austin",596295,2024,5,12,4.75,0.350,37.7,9.6,41.2,80.036265299,94.432492071,19.9,48.3
"Leclerc, José",600917,2024,6,5,4.32,0.297,36.2,7.4,30.7,75.98134481,93.541971266,36,47.3
"Vieira, Thyago",600986,2024,0,1,5.21,0.349,35.5,10,45.5,78.028932,94.877831101,24.8,43.3
"Houser, Adrian",605288,2024,1,5,5.84,0.352,29.8,8.8,40.4,81.602110702,94.668829163,18.2,44.7
"Musgrove, Joe",605397,2024,6,5,3.88,0.324,35.5,10.5,40.6,80.599201739,94.1443128,28.3,47.4
"Snell, Blake",605483,2024,5,3,3.12,0.253,32.9,5.7,28.9,75.529303097,92.772378489,37.7,46
"Turnbull, Spencer",605513,2024,3,0,2.65,0.314,33.1,7.2,42.4,76.427432143,93.732989209,25.4,42.6
"Montero, Rafael",606160,2024,1,2,4.70,0.368,36.1,10.1,42,79.6057485,94.228808319,17.9,45.1
"Barnes, Jacob",606930,2024,8,3,4.36,0.342,43.6,6.4,41.6,78.397904851,94.027718911,25.1,49.2
"Rea, Colin",607067,2024,12,6,4.29,0.342,36.3,8.7,42,80.213678192,94.594415173,19.3,46.8
"Weems, Jordan",607179,2024,1,1,6.70,0.351,33.3,8.9,43,78.845853433,94.783032331,20.3,49
"Glasnow, Tyler",607192,2024,9,6,3.49,0.257,32.5,8.5,40.1,78.136298153,94.139426422,30.9,48.4
"Fedde, Erick",607200,2024,9,9,3.30,0.309,32.4,7.6,37.7,77.502500545,93.941632164,21.6,45.5
"Martinez, Nick",607259,2024,10,7,3.10,0.283,34,5.1,30.5,74.850496934,92.978959505,23.1,51.1
"Banda, Anthony",607455,2024,3,2,3.08,0.285,30.9,6.5,38.8,76.74134209,94.107629851,30,52.2
"Bummer, Aaron",607481,2024,4,3,3.58,0.265,29,1.3,32.9,74.332564189,93.519571554,26.7,43
"Lugo, Seth",607625,2024,16,9,3.00,0.304,32.8,8,39,77.299278949,93.994017356,22.5,46.7
"Ruiz, José",614179,2024,5,1,3.71,0.318,28.6,8.2,42.2,80.897273288,94.637615655,27.6,50.8
"Quantrill, Cal",615698,2024,8,11,4.98,0.355,37.1,7.3,41.2,77.92321026,94.354738243,21.6,45.7
"Eflin, Zach",621107,2024,10,9,3.59,0.303,30,7.5,36.1,76.388751434,94.040596667,21.6,50
"Burr, Ryan",621114,2024,0,2,4.13,0.296,43.8,8.8,47.5,81.23229575,95.358148,31.9,50.5
"Bowman, Matt",621199,2024,1,0,4.40,0.342,36.6,11.8,40.9,78.217246596,94.413392903,18.6,43.3
"Alvarado, José",621237,2024,2,5,4.09,0.311,31.3,6.6,41,78.485103659,94.479599877,28.4,46.6
"Díaz, Edwin",621242,2024,6,4,3.52,0.249,32.1,7.3,30.3,74.696999818,92.653119817,38.1,48.9
"Minter, A.J.",621345,2024,5,4,2.62,0.282,26.4,6.9,33.3,75.611607674,93.756282588,28.4,52.7
"Strahm, Matt",621381,2024,6,2,1.87,0.248,36.2,7.1,37.6,78.994658,93.952678214,26.7,53.1
"Banks, Tanner",621383,2024,2,3,3.98,0.288,30.2,6.3,34.1,76.503108137,93.296796305,26.1,48.2
"Blach, Ty",621389,2024,3,8,6.94,0.402,37.8,12.2,42.6,80.23793542,94.980568206,14.8,50.1
"Wood, Alex",622072,2024,1,3,5.26,0.388,41.1,8.5,48.8,82.281355556,95.94021792,20.7,42.2
"Severino, Luis",622663,2024,11,7,3.91,0.307,30.4,5.7,35.6,75.272418577,93.515669191,22,50.6
"Sewald, Paul",623149,2024,1,2,4.31,0.304,34.9,9.2,42.2,79.845752037,94.379078037,24.4,52.8
"Flexen, Chris",623167,2024,3,15,4.95,0.339,37,8.1,37.4,77.948608016,93.935523035,22.7,46
"Brazobán, Huascar",623211,2024,1,3,3.83,0.300,33.3,4.3,24.6,69.777538551,91.723285328,30,48.5
"Hader, Josh",623352,2024,8,8,3.80,0.261,33.3,10.2,38.8,79.336932877,94.450776,40.5,54.4
"Anderson, Nick",623433,2024,3,1,4.04,0.353,37,7.4,38,78.729160926,93.902136852,23.4,44.7
"Suárez, Ranger",624133,2024,12,8,3.46,0.300,32.9,5.1,34.3,74.743507217,93.618829764,21.9,47.3
"Thompson, Keegan",624522,2024,2,1,2.67,0.325,41.7,12.5,47.2,80.077421111,94.990143056,28.2,45.5
"Maeda, Kenta",628317,2024,3,7,6.09,0.326,36.9,8.2,36.1,78.072138352,93.470683011,23.9,47.2
"Iglesias, Raisel",628452,2024,6,2,1.95,0.239,25.7,4,30.9,74.387969302,92.798374269,31.5,52.3
"Chirinos, Yonny",630023,2024,0,2,6.30,0.335,33,7.8,35,76.401044314,93.547245743,20.7,46.8
"Manaea, Sean",640455,2024,12,6,3.47,0.304,37,7.5,37.8,77.674456946,93.857812243,26.1,49
"Puk, A.J.",640462,2024,4,9,3.15,0.262,35.2,4,33.5,74.536264828,92.955833678,31.8,49.3
"López, Pablo",641154,2024,15,10,4.08,0.302,35.9,8.2,37.5,76.717040308,93.587928673,27,51.8
"Alexander, Tyler",641302,2024,6,5,5.10,0.335,36.6,9.8,37.2,77.467554182,93.866581333,20.1,50
"Dunning, Dane",641540,2024,5,7,5.31,0.349,33.8,10.9,45.8,79.435209433,95.254082242,23.7,45.5
"Hamilton, Ian",641656,2024,0,1,3.82,0.304,34.3,3.8,37.1,79.771145283,93.768760381,36.5,50.4
"Honeywell, Brent",641703,2024,1,1,2.63,0.345,39,5.1,39.8,77.165601207,93.884121293,15.3,46.2
"Jiménez, Joe",641729,2024,1,5,2.62,0.253,29.8,4.8,32.7,77.818499762,92.99504479,32.9,51.4
"Keller, Brad",641745,2024,0,4,5.44,0.337,30.1,10.5,39.2,77.014369718,94.317402908,21.1,46
"Mayza, Tim",641835,2024,0,2,6.33,0.349,42.4,9.3,38.4,77.397422838,93.76203585,17.5,44.5
"Ober, Bailey",641927,2024,12,9,3.98,0.284,34.8,8.3,34.3,76.699154464,93.270078151,29,52.4
"Pagán, Emilio",641941,2024,4,5,4.50,0.317,36.9,8.7,50.5,79.260641373,95.238884216,29.6,53.6
"Saucedo, Tayler",642048,2024,2,0,3.49,0.276,25.9,4.6,27.8,73.522157963,92.556282336,28.1,46
"Green, Chad",643338,2024,4,6,3.21,0.308,35.1,8.8,45.9,81.357816622,95.150588986,23.3,52.6
